#Mapping quality	mapping quality
2.0	42.0
3.0	92.0
4.0	35.0
5.0	247.0
6.0	237.0
7.0	231.0
8.0	300.0
9.0	165.0
10.0	213.0
11.0	154.0
12.0	90.0
13.0	120.0
14.0	163.0
15.0	184.0
16.0	218.0
17.0	273.0
18.0	175.0
19.0	180.0
20.0	271.0
21.0	327.0
22.0	298.0
23.0	201.0
24.0	148.0
25.0	173.0
26.0	162.0
27.0	149.0
28.0	145.0
29.0	183.0
30.0	160.0
31.0	198.0
32.0	184.0
33.0	176.0
34.0	190.0
35.0	269.0
36.0	247.0
37.0	263.0
38.0	160.0
39.0	184.0
40.0	157.0
41.0	132.0
42.0	186.0
43.0	272.0
44.0	181.0
45.0	208.0
46.0	402.0
47.0	270.0
48.0	320.0
49.0	286.0
50.0	388.0
51.0	402.0
52.0	498.0
53.0	443.0
54.0	487.0
55.0	373.0
56.0	706.0
57.0	964.0
58.0	1030.0
59.0	11623.0
60.0	3358.0
