#Mapping quality	mapping quality
0.0	1.0
5.0	5.0
6.0	2.0
7.0	19.0
10.0	22.0
11.0	2.0
12.0	23.0
13.0	21.0
14.0	5.0
15.0	10.0
16.0	19.0
17.0	20.0
19.0	4.0
21.0	35.0
22.0	76.0
23.0	71.0
25.0	2.0
26.0	1.0
27.0	1.0
28.0	4.0
30.0	1.0
31.0	7.0
32.0	2.0
33.0	7.0
34.0	26.0
35.0	43.0
36.0	14.0
37.0	2.0
38.0	1.0
39.0	13.0
40.0	6.0
41.0	21.0
42.0	29.0
43.0	27.0
44.0	1.0
45.0	21.0
46.0	14.0
47.0	18.0
48.0	22.0
50.0	21.0
51.0	8.0
52.0	16.0
53.0	24.0
54.0	2.0
55.0	2.0
56.0	3.0
57.0	5.0
58.0	2.0
59.0	51.0
60.0	15902.0
