#Duplication rate	Coverage
1.0	2014.0
2.0	1773.0
3.0	847.0
4.0	722.0
5.0	406.0
6.0	387.0
7.0	315.0
8.0	262.0
9.0	200.0
10.0	227.0
11.0	152.0
12.0	147.0
13.0	121.0
14.0	111.0
15.0	80.0
16.0	81.0
17.0	78.0
18.0	79.0
19.0	51.0
20.0	58.0
21.0	48.0
22.0	48.0
23.0	51.0
24.0	51.0
25.0	49.0
26.0	40.0
27.0	36.0
28.0	37.0
29.0	33.0
30.0	30.0
31.0	31.0
32.0	19.0
33.0	25.0
34.0	30.0
35.0	19.0
36.0	24.0
37.0	16.0
38.0	21.0
39.0	21.0
40.0	15.0
41.0	16.0
42.0	16.0
43.0	13.0
44.0	9.0
45.0	20.0
46.0	14.0
47.0	6.0
48.0	18.0
49.0	12.0
50.0	331.0
