#Mapping quality	mapping quality
7.0	20.0
10.0	1.0
12.0	21.0
13.0	1.0
14.0	12.0
15.0	23.0
16.0	21.0
17.0	1.0
19.0	2.0
20.0	19.0
21.0	5.0
22.0	48.0
23.0	3.0
24.0	22.0
25.0	19.0
26.0	1.0
28.0	2.0
29.0	1.0
30.0	3.0
31.0	1.0
32.0	1.0
33.0	21.0
34.0	1.0
35.0	28.0
36.0	40.0
37.0	31.0
38.0	4.0
39.0	22.0
40.0	3.0
41.0	3.0
42.0	14.0
43.0	32.0
44.0	26.0
45.0	14.0
46.0	4.0
47.0	30.0
48.0	35.0
49.0	3.0
50.0	16.0
51.0	23.0
52.0	17.0
53.0	5.0
54.0	30.0
55.0	17.0
56.0	11.0
57.0	52.0
58.0	10.0
59.0	352.0
60.0	15288.0
