#Duplication rate	Coverage
1.0	814.0
2.0	751.0
3.0	646.0
4.0	580.0
5.0	533.0
6.0	524.0
7.0	470.0
8.0	423.0
9.0	420.0
10.0	382.0
11.0	331.0
12.0	361.0
13.0	312.0
14.0	298.0
15.0	288.0
16.0	276.0
17.0	277.0
18.0	262.0
19.0	253.0
20.0	239.0
21.0	242.0
22.0	251.0
23.0	218.0
24.0	208.0
25.0	184.0
26.0	197.0
27.0	196.0
28.0	179.0
29.0	180.0
30.0	186.0
31.0	173.0
32.0	169.0
33.0	150.0
34.0	147.0
35.0	160.0
36.0	148.0
37.0	143.0
38.0	146.0
39.0	121.0
40.0	126.0
41.0	144.0
42.0	124.0
43.0	113.0
44.0	112.0
45.0	133.0
46.0	127.0
47.0	130.0
48.0	100.0
49.0	111.0
50.0	16112.0
