#Mapping quality	mapping quality
1.0	13.0
2.0	220.0
3.0	414.0
4.0	304.0
5.0	247.0
6.0	194.0
7.0	254.0
8.0	330.0
9.0	445.0
10.0	324.0
11.0	254.0
12.0	256.0
13.0	115.0
14.0	128.0
15.0	133.0
16.0	104.0
17.0	158.0
18.0	98.0
19.0	117.0
20.0	107.0
21.0	117.0
22.0	97.0
23.0	171.0
24.0	166.0
25.0	196.0
26.0	230.0
27.0	221.0
28.0	136.0
29.0	120.0
30.0	132.0
31.0	156.0
32.0	123.0
33.0	112.0
34.0	130.0
35.0	155.0
36.0	115.0
37.0	137.0
38.0	138.0
39.0	122.0
40.0	84.0
41.0	113.0
42.0	154.0
43.0	122.0
44.0	173.0
45.0	167.0
46.0	302.0
47.0	287.0
48.0	396.0
49.0	315.0
50.0	476.0
51.0	358.0
52.0	454.0
53.0	529.0
54.0	549.0
55.0	583.0
56.0	601.0
57.0	1028.0
58.0	1876.0
59.0	9299.0
60.0	5042.0
