#Mapping quality	mapping quality
4.0	23.0
5.0	284.0
6.0	488.0
7.0	466.0
8.0	264.0
9.0	353.0
10.0	390.0
11.0	282.0
12.0	173.0
13.0	224.0
14.0	219.0
15.0	226.0
16.0	187.0
17.0	208.0
18.0	284.0
19.0	265.0
20.0	215.0
21.0	239.0
22.0	398.0
23.0	487.0
24.0	336.0
25.0	374.0
26.0	223.0
27.0	381.0
28.0	310.0
29.0	358.0
30.0	316.0
31.0	349.0
32.0	283.0
33.0	359.0
34.0	327.0
35.0	195.0
36.0	231.0
37.0	261.0
38.0	196.0
39.0	268.0
40.0	229.0
41.0	182.0
42.0	175.0
43.0	212.0
44.0	231.0
45.0	364.0
46.0	472.0
47.0	588.0
48.0	495.0
49.0	374.0
50.0	471.0
51.0	539.0
52.0	509.0
53.0	504.0
54.0	481.0
55.0	509.0
56.0	1098.0
57.0	1677.0
58.0	2029.0
59.0	7379.0
60.0	940.0
