#Mapping quality	mapping quality
5.0	1.0
6.0	34.0
7.0	69.0
8.0	23.0
9.0	28.0
10.0	11.0
11.0	7.0
12.0	10.0
13.0	10.0
14.0	13.0
15.0	13.0
16.0	14.0
17.0	12.0
18.0	18.0
19.0	29.0
20.0	23.0
21.0	24.0
22.0	75.0
23.0	19.0
24.0	12.0
25.0	21.0
26.0	17.0
27.0	18.0
28.0	26.0
29.0	17.0
30.0	21.0
31.0	12.0
32.0	30.0
33.0	60.0
34.0	73.0
35.0	72.0
36.0	53.0
37.0	56.0
38.0	56.0
39.0	55.0
40.0	49.0
41.0	51.0
42.0	116.0
43.0	85.0
44.0	105.0
45.0	111.0
46.0	255.0
47.0	165.0
48.0	135.0
49.0	134.0
50.0	111.0
51.0	106.0
52.0	107.0
53.0	276.0
54.0	253.0
55.0	269.0
56.0	47.0
57.0	113.0
58.0	396.0
59.0	7329.0
60.0	18651.0
