#Duplication rate	Coverage
1.0	1857.0
2.0	1407.0
3.0	870.0
4.0	711.0
5.0	519.0
6.0	503.0
7.0	358.0
8.0	370.0
9.0	306.0
10.0	311.0
11.0	258.0
12.0	266.0
13.0	208.0
14.0	224.0
15.0	210.0
16.0	196.0
17.0	169.0
18.0	167.0
19.0	140.0
20.0	172.0
21.0	137.0
22.0	124.0
23.0	105.0
24.0	108.0
25.0	115.0
26.0	111.0
27.0	102.0
28.0	83.0
29.0	88.0
30.0	104.0
31.0	91.0
32.0	85.0
33.0	78.0
34.0	75.0
35.0	80.0
36.0	64.0
37.0	58.0
38.0	82.0
39.0	65.0
40.0	49.0
41.0	72.0
42.0	47.0
43.0	54.0
44.0	46.0
45.0	60.0
46.0	49.0
47.0	54.0
48.0	49.0
49.0	54.0
50.0	1591.0
