#Mapping quality	mapping quality
0.0	20.0
6.0	20.0
9.0	1.0
10.0	3.0
11.0	24.0
12.0	31.0
15.0	20.0
16.0	1.0
19.0	2.0
20.0	2.0
21.0	44.0
22.0	46.0
23.0	2.0
24.0	40.0
25.0	25.0
26.0	4.0
27.0	2.0
28.0	2.0
30.0	22.0
31.0	1.0
32.0	20.0
33.0	1.0
34.0	3.0
35.0	23.0
36.0	29.0
37.0	25.0
38.0	1.0
39.0	2.0
40.0	20.0
41.0	7.0
42.0	49.0
43.0	12.0
44.0	2.0
45.0	13.0
46.0	15.0
47.0	12.0
48.0	44.0
49.0	5.0
50.0	9.0
51.0	31.0
52.0	14.0
53.0	15.0
54.0	50.0
55.0	16.0
56.0	7.0
57.0	3.0
58.0	28.0
59.0	48.0
60.0	13085.0
