#Mapping quality	mapping quality
1.0	1.0
2.0	221.0
3.0	252.0
4.0	363.0
5.0	413.0
6.0	194.0
7.0	146.0
8.0	130.0
9.0	182.0
10.0	193.0
11.0	63.0
12.0	93.0
13.0	144.0
14.0	163.0
15.0	97.0
16.0	125.0
17.0	113.0
18.0	263.0
19.0	119.0
20.0	115.0
21.0	222.0
22.0	209.0
23.0	177.0
24.0	110.0
25.0	188.0
26.0	82.0
27.0	61.0
28.0	67.0
29.0	77.0
30.0	73.0
31.0	131.0
32.0	48.0
33.0	60.0
34.0	71.0
35.0	71.0
36.0	83.0
37.0	82.0
38.0	134.0
39.0	85.0
40.0	101.0
41.0	123.0
42.0	126.0
43.0	151.0
44.0	168.0
45.0	190.0
46.0	251.0
47.0	136.0
48.0	195.0
49.0	348.0
50.0	297.0
51.0	264.0
52.0	188.0
53.0	254.0
54.0	465.0
55.0	390.0
56.0	348.0
57.0	583.0
58.0	1040.0
59.0	10392.0
60.0	8442.0
