#Duplication rate	Coverage
1.0	3955.0
2.0	3430.0
3.0	2813.0
4.0	2350.0
5.0	1862.0
6.0	1573.0
7.0	1314.0
8.0	1163.0
9.0	971.0
10.0	843.0
11.0	708.0
12.0	607.0
13.0	537.0
14.0	450.0
15.0	351.0
16.0	336.0
17.0	299.0
18.0	233.0
19.0	208.0
20.0	176.0
21.0	151.0
22.0	141.0
23.0	120.0
24.0	108.0
25.0	99.0
26.0	82.0
27.0	85.0
28.0	55.0
29.0	63.0
30.0	41.0
31.0	42.0
32.0	33.0
33.0	35.0
34.0	29.0
35.0	21.0
36.0	13.0
37.0	21.0
38.0	14.0
39.0	13.0
40.0	20.0
41.0	13.0
42.0	14.0
43.0	6.0
44.0	7.0
45.0	8.0
46.0	7.0
47.0	4.0
48.0	3.0
49.0	1.0
50.0	32.0
