#Duplication rate	Coverage
1.0	2714.0
2.0	1959.0
3.0	1456.0
4.0	1181.0
5.0	1011.0
6.0	904.0
7.0	809.0
8.0	703.0
9.0	679.0
10.0	596.0
11.0	566.0
12.0	498.0
13.0	462.0
14.0	449.0
15.0	428.0
16.0	379.0
17.0	383.0
18.0	342.0
19.0	345.0
20.0	340.0
21.0	323.0
22.0	285.0
23.0	288.0
24.0	238.0
25.0	260.0
26.0	210.0
27.0	204.0
28.0	240.0
29.0	189.0
30.0	202.0
31.0	179.0
32.0	189.0
33.0	176.0
34.0	161.0
35.0	137.0
36.0	135.0
37.0	123.0
38.0	137.0
39.0	118.0
40.0	124.0
41.0	138.0
42.0	118.0
43.0	96.0
44.0	101.0
45.0	94.0
46.0	110.0
47.0	81.0
48.0	90.0
49.0	72.0
50.0	5856.0
