#Mapping quality	mapping quality
5.0	1.0
6.0	1.0
7.0	1.0
8.0	15.0
9.0	40.0
10.0	34.0
11.0	36.0
12.0	35.0
13.0	35.0
14.0	60.0
15.0	69.0
16.0	102.0
17.0	72.0
18.0	59.0
19.0	112.0
20.0	17.0
21.0	6.0
22.0	19.0
23.0	42.0
24.0	56.0
25.0	69.0
26.0	86.0
27.0	56.0
28.0	55.0
29.0	36.0
30.0	31.0
31.0	32.0
32.0	36.0
33.0	30.0
34.0	11.0
35.0	12.0
36.0	9.0
37.0	24.0
38.0	41.0
39.0	39.0
40.0	48.0
41.0	56.0
42.0	55.0
43.0	79.0
44.0	57.0
45.0	87.0
46.0	74.0
47.0	63.0
48.0	74.0
49.0	77.0
50.0	95.0
51.0	22.0
52.0	34.0
53.0	51.0
54.0	68.0
55.0	164.0
56.0	390.0
57.0	211.0
58.0	291.0
59.0	11665.0
60.0	14863.0
