#Duplication rate	Coverage
1.0	885.0
2.0	696.0
3.0	610.0
4.0	527.0
5.0	450.0
6.0	419.0
7.0	342.0
8.0	350.0
9.0	332.0
10.0	281.0
11.0	251.0
12.0	262.0
13.0	236.0
14.0	187.0
15.0	188.0
16.0	210.0
17.0	185.0
18.0	177.0
19.0	202.0
20.0	159.0
21.0	156.0
22.0	150.0
23.0	159.0
24.0	138.0
25.0	144.0
26.0	133.0
27.0	123.0
28.0	141.0
29.0	141.0
30.0	105.0
31.0	127.0
32.0	135.0
33.0	108.0
34.0	132.0
35.0	115.0
36.0	119.0
37.0	92.0
38.0	104.0
39.0	103.0
40.0	105.0
41.0	87.0
42.0	105.0
43.0	90.0
44.0	93.0
45.0	101.0
46.0	92.0
47.0	93.0
48.0	94.0
49.0	116.0
50.0	18358.0
