#Mapping quality	mapping quality
0.0	31.0
1.0	9.0
2.0	44.0
3.0	52.0
4.0	39.0
5.0	79.0
6.0	104.0
7.0	68.0
8.0	48.0
9.0	39.0
10.0	47.0
11.0	65.0
12.0	59.0
13.0	98.0
14.0	102.0
15.0	239.0
16.0	108.0
17.0	240.0
18.0	77.0
19.0	78.0
20.0	93.0
21.0	123.0
22.0	109.0
23.0	100.0
24.0	90.0
25.0	122.0
26.0	124.0
27.0	128.0
28.0	70.0
29.0	55.0
30.0	55.0
31.0	75.0
32.0	55.0
33.0	67.0
34.0	115.0
35.0	157.0
36.0	160.0
37.0	145.0
38.0	198.0
39.0	141.0
40.0	187.0
41.0	201.0
42.0	206.0
43.0	171.0
44.0	183.0
45.0	145.0
46.0	163.0
47.0	123.0
48.0	186.0
49.0	222.0
50.0	410.0
51.0	408.0
52.0	445.0
53.0	437.0
54.0	373.0
55.0	434.0
56.0	866.0
57.0	1446.0
58.0	2186.0
59.0	12761.0
60.0	4542.0
