#Duplication rate	Coverage
1.0	3881.0
2.0	2695.0
3.0	1865.0
4.0	1382.0
5.0	1040.0
6.0	903.0
7.0	703.0
8.0	607.0
9.0	576.0
10.0	480.0
11.0	470.0
12.0	380.0
13.0	413.0
14.0	358.0
15.0	320.0
16.0	318.0
17.0	287.0
18.0	285.0
19.0	270.0
20.0	240.0
21.0	228.0
22.0	222.0
23.0	213.0
24.0	191.0
25.0	197.0
26.0	205.0
27.0	179.0
28.0	162.0
29.0	178.0
30.0	167.0
31.0	154.0
32.0	151.0
33.0	166.0
34.0	163.0
35.0	116.0
36.0	123.0
37.0	142.0
38.0	120.0
39.0	106.0
40.0	102.0
41.0	113.0
42.0	106.0
43.0	105.0
44.0	100.0
45.0	104.0
46.0	89.0
47.0	100.0
48.0	93.0
49.0	103.0
50.0	3235.0
